Subject_id,Trial_num,Footedness,Info_str,Place,GDUR,PVEL,T2PVEL,MDISP
F2,T0002,unfooted,narrow,tongue_body,148,138.51,64,11.6
F2,T0003,footed,background,lower_lip,56,126.86,36,4.2
F2,T0004,footed,background,tongue_tip,88,123.37,52,6.6
F2,T0005,footed,background,tongue_body,156,146.04,80,12.2
F2,T0006,footed,broad,lower_lip,56,119.58,28,4.2
F2,T0007,unfooted,contrastive,lower_lip,76,141.66,44,6.2
F2,T0009,footed,broad,tongue_tip,84,104.33,32,6.1
F2,T0010,unfooted,background,lower_lip,68,105.97,40,4.4
F2,T0011,unfooted,contrastive,tongue_body,156,166.35,72,13.9
F2,T0012,unfooted,background,tongue_body,124,136.03,64,10.8
F2,T0013,footed,narrow,lower_lip,48,128.21,32,4
F2,T0014,footed,narrow,tongue_tip,116,133.65,76,7.2
F2,T0015,unfooted,broad,tongue_tip,92,67.23,60,4.1
F2,T0016,footed,narrow,tongue_body,152,185.78,80,14.6
F2,T0018,unfooted,broad,tongue_body,140,163.03,68,12.5
F2,T0019,unfooted,broad,lower_lip,52,98.3,32,3.3
F2,T0020,unfooted,background,tongue_tip,92,95.66,52,5.2
F2,T0021,unfooted,narrow,lower_lip,80,91.57,48,4.2
F2,T0022,footed,contrastive,tongue_body,156,166.47,84,14.5
F2,T0023,footed,contrastive,lower_lip,84,137.37,52,6.7
F2,T0024,footed,broad,tongue_body,132,165.04,64,12.3
F2,T0025,footed,contrastive,lower_lip,88,155.43,44,7.9
F2,T0026,unfooted,narrow,tongue_body,148,92.55,64,8.2
F2,T0027,unfooted,narrow,tongue_tip,60,144.91,32,5.1
F2,T0028,unfooted,broad,tongue_body,140,121.26,64,9.4
F2,T0029,unfooted,background,lower_lip,72,81.13,36,3.7
F2,T0030,unfooted,contrastive,tongue_body,152,117.45,84,11
F2,T0031,footed,background,tongue_body,136,118.68,64,9.8
F2,T0032,footed,background,tongue_tip,72,115.76,48,3.7
F2,T0033,unfooted,contrastive,lower_lip,84,79.36,32,3.6
F2,T0034,footed,background,lower_lip,60,58.11,40,2.3
F2,T0035,unfooted,background,tongue_body,108,57.48,52,4.8
F2,T0036,footed,contrastive,tongue_body,108,140.51,68,9.5
F2,T0037,unfooted,broad,lower_lip,60,66.47,36,2.4
F2,T0038,footed,narrow,tongue_tip,68,109.37,48,3.5
F2,T0039,footed,broad,tongue_body,148,123.65,64,9.5
F2,T0040,footed,contrastive,tongue_tip,92,113.18,76,3
F2,T0041,footed,broad,lower_lip,72,103.72,44,4.3
F2,T0042,unfooted,contrastive,tongue_tip,96,190.34,68,6.4
F2,T0043,unfooted,broad,tongue_tip,52,120.97,28,3.9
F2,T0044,footed,narrow,lower_lip,72,105.97,40,4.7
F2,T0045,footed,narrow,tongue_body,148,117.84,52,9.4
F2,T0046,unfooted,narrow,lower_lip,96,93.2,40,5.6
F2,T0047,unfooted,background,tongue_tip,60,181.09,36,6.6
F2,T0048,footed,broad,tongue_tip,100,148.12,72,5
F2,T0049,unfooted,narrow,tongue_tip,96,126.72,68,4.8
F2,T0050,unfooted,contrastive,lower_lip,60,93.07,32,3.4
F2,T0051,footed,broad,tongue_tip,84,114.93,68,2.8
F2,T0052,footed,contrastive,tongue_body,160,141.4,80,12
F2,T0053,unfooted,background,tongue_body,160,80.68,64,9.5
F2,T0054,unfooted,broad,lower_lip,64,81.37,36,3.3
F2,T0055,unfooted,background,tongue_tip,92,153.73,56,6.4
F2,T0056,unfooted,contrastive,tongue_body,136,133.23,60,11.2
F2,T0057,footed,narrow,tongue_body,152,122.53,72,9.6
F2,T0058,footed,broad,tongue_body,120,98.1,60,7.4
F2,T0059,unfooted,narrow,tongue_body,112,102.79,68,7.9
F2,T0060,footed,narrow,tongue_tip,108,114.38,80,3.3
F2,T0061,footed,background,tongue_tip,144,164.93,100,7.7
F2,T0063,footed,contrastive,lower_lip,88,122.53,40,6.7
F2,T0064,unfooted,broad,tongue_body,116,91.26,84,7.6
F2,T0065,footed,background,lower_lip,80,72.25,40,3.5
F2,T0066,footed,narrow,lower_lip,48,84.43,40,2.7
F2,T0067,footed,contrastive,tongue_tip,96,155.75,76,4.8
F2,T0068,footed,broad,lower_lip,84,86.82,48,4.8
F2,T0069,footed,background,tongue_body,108,112.3,64,7.6
F2,T0070,unfooted,narrow,lower_lip,80,144.96,56,7.9
F2,T0071,unfooted,contrastive,tongue_tip,60,199.32,28,7.1
F2,T0072,unfooted,background,lower_lip,72,41.35,32,2
F2,T0073,footed,broad,tongue_tip,92,115.36,64,4.1
F2,T0074,unfooted,narrow,tongue_tip,56,94.33,32,3.3
F2,T0075,footed,background,lower_lip,68,50.6,36,2.4
F2,T0076,footed,narrow,tongue_body,136,129.34,52,11
F2,T0077,unfooted,broad,tongue_tip,52,93.63,28,3.1
F2,T0078,footed,background,tongue_body,124,106.58,64,8.9
F2,T0079,footed,broad,tongue_body,132,125.68,72,9.6
F2,T0080,unfooted,broad,lower_lip,84,92.82,32,4.6
F2,T0081,footed,contrastive,tongue_body,140,130.78,60,10.3
F2,T0082,footed,narrow,tongue_tip,92,157.22,64,5.2
F2,T0083,unfooted,contrastive,tongue_body,168,116.21,80,10.4
F2,T0084,unfooted,background,tongue_body,112,90.74,56,6.6
F2,T0085,unfooted,background,lower_lip,76,59.05,28,3
F2,T0086,footed,contrastive,lower_lip,92,95.48,36,5.5
F2,T0087,unfooted,contrastive,tongue_tip,92,118.79,36,5.7
F2,T0088,footed,contrastive,tongue_tip,108,144.66,72,6.4
F2,T0089,footed,narrow,lower_lip,84,123.75,40,7.1
F2,T0090,unfooted,broad,tongue_body,136,99.95,68,8.2
F2,T0091,unfooted,narrow,tongue_body,116,66.16,52,5
F2,T0092,unfooted,contrastive,lower_lip,56,102.52,40,3.6
F2,T0093,unfooted,narrow,lower_lip,108,54.76,48,4.4
F2,T0094,footed,broad,lower_lip,88,85.23,44,4.9
F2,T0095,footed,background,tongue_tip,100,84.03,68,4
F2,T0096,unfooted,background,tongue_tip,88,117.02,64,4.4
F2,T0097,unfooted,narrow,lower_lip,64,102.56,40,4.1
F2,T0098,footed,broad,lower_lip,84,91.92,40,4.8
F2,T0099,unfooted,background,tongue_tip,88,68.7,52,3.5
F2,T0100,unfooted,contrastive,tongue_tip,112,141.23,80,5.7
F2,T0101,footed,broad,tongue_body,148,118.63,72,9.7
F2,T0102,unfooted,background,lower_lip,88,85.15,44,4.8
F2,T0103,footed,narrow,lower_lip,88,108.53,36,5.5
F2,T0104,unfooted,contrastive,tongue_body,156,85.63,76,8.5
F2,T0105,footed,contrastive,tongue_body,136,105.61,72,8.9
F2,T0107,footed,background,tongue_tip,96,135.83,72,4.5
F2,T0108,unfooted,broad,tongue_body,124,86.32,64,6.7
F2,T0109,footed,narrow,tongue_tip,104,161.89,84,4.9
F2,T0111,footed,narrow,tongue_body,156,82.7,104,7.5
F2,T0112,unfooted,background,tongue_body,184,103.96,84,10.5
F2,T0113,footed,background,lower_lip,60,97.4,36,3.6
F2,T0114,footed,contrastive,lower_lip,84,95.48,32,5.2
F2,T0115,unfooted,broad,tongue_tip,52,117.62,28,3.9
F2,T0116,unfooted,contrastive,lower_lip,80,53.16,32,3.2
F2,T0117,unfooted,narrow,tongue_tip,56,103.56,28,3.6
F2,T0118,footed,broad,tongue_tip,96,106.9,76,3.5
F2,T0119,footed,contrastive,tongue_tip,100,87.34,72,4
F2,T0120,unfooted,broad,lower_lip,64,56.09,32,2.4
F2,T0121,footed,background,tongue_tip,92,119.45,68,5.3
F2,T0123,unfooted,broad,tongue_body,108,94.5,56,6.8
F2,T0124,footed,contrastive,tongue_body,148,110.47,76,9
F2,T0125,footed,narrow,tongue_tip,64,70.49,36,3
F2,T0126,unfooted,background,tongue_tip,80,139.55,56,4.6
F2,T0127,footed,broad,tongue_tip,104,63.19,80,1.7
F2,T0128,unfooted,narrow,tongue_tip,52,87.98,36,2.6
F2,T0129,unfooted,contrastive,tongue_body,128,93.46,60,7.5
F2,T0130,unfooted,broad,lower_lip,72,53.63,36,2.7
F2,T0131,footed,contrastive,lower_lip,88,87.52,36,5
F2,T0133,unfooted,background,lower_lip,48,45.3,28,1.6
F2,T0134,footed,background,lower_lip,104,79.67,48,4.6
F2,T0135,footed,contrastive,tongue_tip,76,154.72,52,5
F2,T0136,footed,background,tongue_body,128,128.98,68,10.2
F2,T0137,unfooted,contrastive,lower_lip,92,58.72,48,3.5
F2,T0138,footed,narrow,tongue_body,140,114.6,72,8.8
F2,T0139,unfooted,broad,tongue_tip,72,170.93,48,5.6
F2,T0140,unfooted,narrow,lower_lip,88,78.45,40,4.2
F2,T0141,footed,broad,lower_lip,76,87.7,40,4.4
F2,T0142,unfooted,background,tongue_body,132,96.84,60,7.8
F2,T0143,unfooted,narrow,tongue_body,120,78.31,80,5.9
F2,T0144,footed,narrow,lower_lip,124,61.49,48,5.1
F2,T0145,footed,background,tongue_tip,76,145.16,56,5.3
F2,T0146,footed,narrow,lower_lip,64,68.84,36,2.8
F2,T0147,unfooted,narrow,tongue_body,132,80.71,64,6.8
F2,T0148,unfooted,narrow,tongue_tip,52,125.34,28,4.2
F2,T0149,unfooted,contrastive,tongue_tip,56,157.26,28,5.3
F2,T0150,footed,broad,lower_lip,104,106.44,52,7.3
F2,T0151,unfooted,background,tongue_tip,96,120.19,64,5.7
F2,T0152,footed,background,tongue_body,164,94.43,60,9.2
F2,T0153,footed,broad,tongue_body,112,83.5,48,6
F2,T0154,unfooted,narrow,lower_lip,100,64.56,52,4.3
F2,T0156,footed,contrastive,tongue_body,144,112.1,60,9.6
F2,T0157,unfooted,background,lower_lip,76,22.4,56,1.3
F2,T0158,footed,background,lower_lip,96,61.86,36,3.5
F2,T0159,footed,contrastive,tongue_tip,88,194.53,56,7.8
F2,T0160,unfooted,contrastive,lower_lip,100,96.28,44,5.2
F2,T0161,unfooted,background,tongue_body,132,103.55,68,8.4
F2,T0162,footed,broad,tongue_tip,80,126.19,60,4.5
F2,T0163,unfooted,broad,tongue_body,116,106.73,64,7.8
F2,T0164,unfooted,broad,lower_lip,64,38.6,28,1.7
F2,T0165,footed,contrastive,lower_lip,76,64.34,40,3.3
F2,T0166,unfooted,broad,tongue_tip,68,112.44,44,3.9
F2,T0167,footed,narrow,tongue_body,144,103.65,60,8.2
F2,T0168,unfooted,contrastive,tongue_body,144,88.59,64,8.5
